Chinese,Pinyin,English
阿姨,āyí,aunt
啊,a,"ah, huh (exclamatory/interrogative particle)"
矮,ǎi,short
爱好,àihào,hobby
安静,ānjìng,quiet
把,bǎ,"to hold, to take (preposition for direct object)"
班,bān,class
搬,bān,to move
半,bàn,half
办法,bànfǎ,"method, way"
办公室,bàngōngshì,office
帮忙,bāngmáng,to help
包,bāo,"bag, package"
饱,bǎo,full (from eating)
北方,běifāng,north
被,bèi,by (passive voice marker)
鼻子,bízi,nose
比较,bǐjiào,"relatively, comparatively"
比赛,bǐsài,"competition, match"
笔记本,bǐjìběn,"notebook, laptop"
必须,bìxū,"must, have to"
变化,biànhuà,change
别人,biéren,others
冰箱,bīngxiāng,refrigerator
菜单,càidān,menu
参加,cānjiā,to participate in
草,cǎo,grass
层,céng,"layer, floor (of a building)"
差,chà,"lacking, short of"
超市,chāoshì,supermarket
衬衫,chènshān,shirt
成绩,chéngjì,"achievement, grades"
城市,chéngshì,city
迟到,chídào,to be late
除了,chúle,"except for, besides"
船,chuán,"boat, ship"
春,chūn,spring
词典,cídiǎn,dictionary
聪明,cōngming,"clever, smart"
打扫,dǎsǎo,to clean
打算,dǎsuàn,"to plan, to intend"
带,dài,"to bring, to take"
担心,dānxīn,to worry
蛋糕,dàngāo,cake
当然,dāngrán,of course
地,de,(adverbial particle)
灯,dēng,"lamp, light"
地方,dìfang,place
地铁,dìtiě,"subway, metro"
地图,dìtú,map
